,Country,League
889,Slovakia,1. Liga Women
890,Slovenia,Prva liga
891,Slovenia,2. SNL
892,Slovenia,3. SNL - East
893,Slovenia,3. SNL - West
894,Slovenia,Slovenian Cup
895,Slovenia,Super Cup
896,Slovenia,1. SZNL Women
897,Somalia,National league
898,South Africa,Premiership
899,South Africa,Motsepe Foundation Championship
900,South Africa,Diski Challenge
901,South Africa,Nedbank Cup
902,South Africa,Carling Knockout
903,South Africa,MTN 8 Cup
904,South Africa,Multichoice Diski Shield
905,South Korea,K League 1
906,South Korea,K League 2
907,South Korea,K3 League
908,South Korea,League Cup
909,South Korea,Korean Cup
910,South Korea,WK League Women
911,Spain,LaLiga
912,Spain,LaLiga2
913,Spain,Primera RFEF - Group 1
914,Spain,Primera RFEF - Group 2
915,Spain,Primera RFEF - Play Offs
916,Spain,Primera RFEF - Promotion Play Offs
917,Spain,Segunda RFEF - Group 1
918,Spain,Segunda RFEF - Group 2
919,Spain,Segunda RFEF - Group 3
920,Spain,Segunda RFEF - Group 4
921,Spain,Segunda RFEF - Group 5
922,Spain,Segunda RFEF - Promotion Play Offs
